||<tablewidth="1160px" tableheight="874px"rowbgcolor="#e0e0e0" rowstyle="FONT-WEIGHT:bold">Feature ||CPUs/Platform ||Notes ||Xen ||KVM ||RHEL6.2 ||SLES11 SP2 ||OVM3.0 ||RHEL6.1 ||RHEL6 ||OVM 2.2 ||SLES11 SP1 ||RHEL 5.4 ||SLES 11 ||RHEL 5.3 ||Sun xVM 1.0 ||OVM 1.2 ||RHEL5.2 ||SLES10 SP2 ||
||Release Date || || || || ||Q4 '11|| ||Q3 '11 ||Q2 '11 ||Q3 '10 ||Q3 '09 ||Q2 '10 ||Q3 '09 ||Q1 '09 ||Q1 '09 || || || || ||
||'''Xen Version''' || || || ||n/a ||N/A||4.1.2 ||4.0 ||No Xen ||No Xen ||3.4 ||4.0 ||3.4.1 ||3.3.1 ||3.1.4 ||3.1.4 ||3.1.2 (RHEL5.1) ||3.1.2(partly) ||3.2 ||
||'''KVM Version''' || || ||n/a || ||2.6.32||3.0.4 ||n/a ||2.6.32 ||2.6.32 ||n/a ||2.6.32 backport ||2.6.30 backport ||n/a ||n/a ||n/a ||n/a ||n/a ||n/a ||
||'''Kernel''' || || ||2.6.31.12 (pv ops dom0) ||2.6.31+ ||2.6.32-220||3.0.4 ||2.6.32 ||2.6.32-131 ||2.6.32 ||2.6.18.8 ||2.6.32 ||2.6.18.8 ||2.6.27 ||2.6.18.8 ||sun ||2.6.18 ||2.6.18.8 ||2.6.16 ||
||'''VT-x ''' ||VMX-x1 || ||yes ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||
||'''Flex Priority ''' ||VMX-x1 ||vTPR ||yes ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||no ||yes ||yes ||
||'''NMIp''' ||VMX-x1 ||NMI Exiting ||yes ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||no ||no ||yes ||
||'''Adv. String IO ''' ||VMX-x1 || ||no ||no ||yes||no || ||yes ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''VPID ''' ||NHM || ||yes ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||yes ||yes ||no ||yes ||no ||no ||yes ||
||'''x2APIC''' (>64 threads) ||NHM ||host supporting, Proper x2APIC handling ||yes(4.1.0) ||yes ||yes||yes || ||yes ||yes ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''x2APIC Virtualization''' ||NHM ||Allow guests to use x2APIC (via MSR) ||yes(4.1.0) ||yes (even if interrupt remapping is not available) ||yes||yes || ||yes ||yes ||no ||yes ||no ||no ||no ||no ||no ||no ||no ||
||'''RDTSCP''' ||NHM || ||yes (4.0) ||no ||no ||yes || || ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''Host NUMA''' ||NHM || ||Yes (basic NUMA support only, i.e. allocate memory from same node) ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||no || || || ||no || || ||
||'''Guest NUMA''' ||NHM || ||Progress ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
||'''MCE (SRAO) (RAS) ''' ||NHM || ||yes ||yes ||yes||yes ||yes ||yes ||yes ||yes ||yes ||no ||no ||no ||no ||no ||no ||no ||
||'''MCE (SRAR) (RAS) ''' ||JKT || ||no ||no ||no||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||no ||
